,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,trailingPE
0,1,2,56.93,57.02,56.465,63.5,56.93,57.02,56.465,63.5,3.92,0.0619,2023-09-28 02:00:00,3.187,4.25,1.206,25.516129,3235469,3235469,1605306,1873750,1873750,60.99,64.54,800,800,9931162624,46.18,79.42,3.3504796,55.5574,57.5735,3.92,0.06885649,USD,,,,,,False,BXP,51.44715
0,1,2,55.89,55.92,55.57,56.215,55.89,55.92,55.57,56.215,,,,0.0,,0.771,25.0625,4664691,4664691,8037871,5483670,5483670,55.86,57.0,900,1400,82243977216,44.35,56.22,5.978337,52.4654,51.6271,0.0,0.0,USD,,,,,,False,BSX,68.46342
0,1,2,49.38,49.4,48.93,50.18,49.38,49.4,48.93,50.18,2.28,0.045500003,2023-10-05 02:00:00,0.5787,3.13,0.369,7.466468,12664316,12664316,13019096,14421850,14421850,50.1,50.54,1800,1100,101941469184,48.25,81.42,2.268643,53.7626,62.383,2.28,0.046172537,USD,,,,,,False,BMY,12.715735
0,1,2,925.73,922.46,908.0,933.9,925.73,922.46,908.0,933.9,18.4,0.0198,2023-09-20 02:00:00,0.5508,3.07,1.125,22.137587,2908857,2908857,2401433,3887120,3887120,929.3,930.8,800,800,485037768704,516.05,999.87,13.680762,888.6828,787.1556,18.4,0.019876206,USD,,,,,,False,AVGO,28.650648
0,1,2,193.82,193.35,191.59,195.8,193.82,193.35,191.59,195.8,3.2,0.0164,2023-12-14 01:00:00,0.5275,1.64,0.971,23.015312,531640,531640,480349,505090,505090,78.22,200.0,800,1000,22988222464,131.83,195.8,3.7025824,179.631,163.9276,2.975,0.015349292,USD,,,,,,False,BR,34.58407
0,1,2,74.74,74.52,73.83,74.745,74.74,74.52,73.83,74.745,0.52,0.0069999998,2023-10-31 01:00:00,0.1749,0.76,0.76,24.388159,952976,952976,1291377,876430,876430,73.87,74.64,800,1000,21100097536,52.82,75.14,5.1541595,71.1238,66.4825,0.46,0.00615467,USD,,,,,,False,BRO,28.190113
0,1,2,109.87,109.63,108.94,110.435,109.87,109.63,108.94,110.435,2.65,0.024300002,2024-02-15 01:00:00,0.19639999,3.02,0.654,9.439067,1007956,1007956,1087871,892380,892380,104.62,111.51,800,800,15866902528,87.87,116.59,0.25899228,105.8112,101.38725,2.575,0.023436788,USD,,,,,,False,BG,8.452786
0,1,2,82.05,82.53,81.92,83.76,82.05,82.53,81.92,83.76,2.44,0.0293,2023-11-30 01:00:00,0.72620004,2.33,0.788,21.348719,775923,775923,1110853,1185890,1185890,83.2,83.76,800,900,9712362496,78.69,108.05,0.52666146,83.4108,93.00425,2.44,0.029737964,USD,,,,,,False,CHRW,24.779764
0,1,2,273.27,272.85,268.3827,273.15,273.27,272.85,268.3827,273.15,,,,0.0,,1.041,46.05622,1602067,1602067,1285115,1151900,1151900,270.61,273.0,900,800,73551970304,154.88,279.33,18.757324,249.8732,227.69275,0.0,0.0,USD,,,,,,False,CDNS,77.0228
0,1,2,44.72,44.72,44.48,46.965,44.72,44.72,44.48,46.965,,,,0.0,,2.904,30.960264,6316391,6316391,2935328,2660360,2660360,46.75,47.0,900,900,10084489216,38.33,60.27,0.87508583,43.9418,47.886574,0.0,0.0,USD,,,,,,False,CZR,14.253049
0,1,2,90.26,90.33,90.33,93.18,90.26,90.33,90.33,93.18,4.0,0.0432,2023-09-28 02:00:00,1.9314,3.06,0.854,49.26596,758853,758853,919507,1149110,1149110,91.3,94.04,900,800,9889130496,82.81,127.6,6.4451675,91.4226,103.8179,3.94,0.043651674,USD,,,,,,False,CPT,45.401962
0,1,2,40.18,40.19,39.9,40.61,40.18,40.19,39.9,40.61,1.48,0.0365,2024-01-03 01:00:00,0.5193,3.17,0.348,12.569659,2580490,2580490,2881722,2905000,2905000,39.91,40.55,1100,1100,12083452928,37.94,57.78,1.2913811,40.4106,46.8823,1.48,0.036834247,USD,,,,,,False,CPB,14.245614
0,1,2,107.08,107.005,106.97,107.86,107.08,107.005,106.97,107.86,2.0,0.0187,2023-12-29 01:00:00,3.2666001,3.41,0.773,13.93498,1589551,1589551,2053131,1741660,1741660,105.2,107.25,800,1100,26411511808,68.53,107.86,0.12566617,96.2624,87.493,1.993,0.018612253,USD,,,,,,False,CAH,175.67213
0,1,2,63.94,63.75,63.26,67.495,63.94,63.75,63.26,67.495,,,,0.0,,1.479,18.667591,2293184,2293184,2132915,1681160,1681160,67.42,67.8,800,800,10692636672,52.1,87.5,0.37459734,66.1866,72.7188,0.0,0.0,USD,,,,,,False,KMX,23.562937
0,1,2,15.06,15.12,15.03,15.77,15.06,15.12,15.03,15.77,,,2020-02-20 01:00:00,0.0,4.21,2.455,17.318682,30561060,30561060,28816841,24089820,24089820,15.72,15.68,29200,2900,20586657792,7.53,19.55,1.0274835,13.0662,13.24795,0.0,0.0,USD,,,,,,False,CCL,
0,1,2,51.96,52.13,52.08,53.34,51.96,52.13,52.08,53.34,0.74,0.0139,2023-10-26 02:00:00,0.5,,1.285,18.543554,3009866,3009866,4734284,3592680,3592680,52.94,53.67,1100,800,44654080000,40.28,60.04,2.0204551,51.8692,49.321,0.74,0.014241725,USD,,,,,,False,CARR,37.744682
0,1,2,38.85,38.74,38.44,40.27,38.85,38.74,38.44,40.27,,,,0.0,,1.263,24.631903,2078339,2078339,2318849,1526280,1526280,36.3,40.5,1000,900,7237921280,31.45,74.49,1.7086688,40.691,47.69895,0.0,0.0,USD,,,,,,False,CTLT,
0,1,2,250.72,251.91,251.01,257.44,250.72,251.91,251.01,257.44,5.2,0.020299999,2023-10-20 02:00:00,0.2778,2.38,1.078,12.464078,3479132,3479132,2790144,2485320,2485320,256.65,257.15,1300,900,130712666112,204.04,293.88,1.9630358,254.0502,245.97514,5.0,0.019942565,USD,,,,,,False,CAT,14.555556
