symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
LLY,2022-12-31,3M,360759382936.0,170.604078,49.406911,44.0529,347613082936.0,34.519477,55.013534,2.3111,11.3581,LLY
LLY,2023-03-31,3M,340024073140.0,212.647951,48.854033,40.0,325997273140.0,30.610647,49.771014,1.6185,10.884689,LLY
LLY,2023-06-30,3M,460410448280.0,207.130848,55.390389,53.7634,445196148280.0,39.783756,75.437803,1.9821,16.076733,LLY
LLY,2023-09-30,3M,525885816273.0,153.520892,55.364561,42.1941,509894916273.0,46.08716,76.578115,1.4159,17.27533,LLY
EMR,2022-09-30,3M,52905308000.0,41.526929,9.870393,13.369,43302308000.0,4.197994,13.867424,1.2016,2.277646,EMR
EMR,2022-12-31,3M,64854036170.0,88.841145,19.227405,23.4192,55936036170.0,5.296091,17.756007,2.2539,2.918161,EMR
EMR,2023-03-31,3M,57917510000.0,60.646607,15.419997,21.3675,49800510000.0,4.642538,11.904372,4.05,2.616264,EMR
EMR,2023-06-30,3M,60181885000.0,58.54269,15.251365,19.3798,51657885000.0,4.547349,18.334686,3.7274,2.61544,EMR
EMR,2023-09-30,3M,54047755000.0,57.681702,13.21461,19.7239,55189755000.0,2.699279,17.350634,3.5068,2.705875,EMR
ENPH,2022-09-02,TTM,37844279734.0,,,58.1395,37802061734.0,83.818505,193.798611,2.2367,22.938159,ENPH
ENPH,2022-09-05,TTM,,123.603832,21.803142,,,,,,,ENPH
ENPH,2022-09-30,3M,37738459790.0,254.18068,59.457518,57.8035,37696241790.0,83.58387,192.6875,2.2238,22.806647,ENPH
ENPH,2022-12-31,3M,35889487637.0,192.47202,49.526514,55.2486,36014309637.0,59.259453,128.0,1.7492,18.846273,ENPH
ENPH,2023-03-31,3M,28491665560.0,144.10108,39.243854,39.0625,28808780560.0,34.895498,75.913357,1.1953,13.026274,ENPH
ENPH,2023-06-30,3M,22297902880.0,108.961073,31.356122,31.1526,22778284880.0,23.480517,48.97076,1.0481,9.267461,ENPH
ENPH,2023-09-30,3M,15882876065.0,99.899214,28.821257,18.3486,16383098065.0,16.864216,30.264484,1.2163,6.246728,ENPH
ETR,2022-09-30,3M,46747325006.0,30.729427,11.081202,14.8148,20476417006.0,1.748465,16.660596,2.3158,1.656989,ETR
ETR,2022-12-31,3M,49495031750.0,53.409292,15.124532,16.6113,22891911750.0,1.96401,18.262987,2.5783,1.736472,ETR
ETR,2023-03-31,3M,49317202996.0,47.774747,16.543518,16.0514,22781196996.0,1.756862,20.063315,2.4665,1.60893,ETR
ETR,2023-06-30,3M,46207718580.0,34.450028,16.235874,14.5138,20589305580.0,1.57673,17.768248,1.7082,1.457752,ETR
ETR,2023-09-30,3M,45644412890.0,26.789001,12.694794,12.8535,19559641890.0,1.477642,14.122137,1.9614,1.454977,ETR
EOG,2020-09-24,TTM,,,,,,,61.083333,,,EOG
EOG,2022-09-30,3M,67846866978.0,14.717325,8.929569,6.7935,65612866978.0,2.940699,11.459487,1.8283,2.467078,EOG
EOG,2022-12-31,3M,76125687521.0,20.1444,11.722465,8.3822,76078687521.0,3.191683,10.166405,2.6238,2.626828,EOG
EOG,2023-03-08,TTM,69237474380.0,,,8.3264,69251474380.0,2.794765,8.913011,2.6057,2.345253,EOG
EOG,2023-03-09,TTM,,5.082769,2.34767,,,,,,,EOG
EOG,2023-03-31,3M,67026141912.0,19.512705,12.014006,8.3195,67040141912.0,2.705523,8.670953,,2.281561,EOG
EOG,2023-06-30,3M,65785810231.0,22.78691,12.048683,9.5969,66629810231.0,2.618376,7.1525,,2.373389,EOG
EOG,2023-09-30,3M,73192391430.0,20.870371,11.973236,9.5147,73807391430.0,2.810961,8.541779,,2.958288,EOG
EPAM,2020-09-24,TTM,,,,46.2963,,,,,,EPAM
EPAM,2022-09-30,3M,19681971380.0,97.385845,16.041772,,20826649380.0,7.94197,58.512116,,4.797286,EPAM
EPAM,2022-12-31,3M,17498945557.0,90.376379,14.21173,,18849470557.0,6.853359,47.705968,,4.123593,EPAM
EPAM,2023-03-31,3M,15748095000.0,110.008837,13.004841,,17296552000.0,5.762575,42.172073,,3.666868,EPAM
EPAM,2023-06-30,3M,11402689250.0,68.232998,9.744173,,13025386250.0,4.162843,30.787671,,2.738122,EPAM
EPAM,2023-09-30,3M,13152537559.0,80.669628,11.415786,,14819990559.0,4.542162,28.41,,3.133059,EPAM
EQT,2022-09-30,3M,20000925500.0,22.228042,5.410395,4.3365,15002601500.0,1.655699,,0.1735,1.436647,EQT
EQT,2022-12-31,3M,17098944349.0,7.3435,6.646221,3.7665,12417166349.0,1.284986,5.4128,0.1449,1.029957,EQT
EQT,2023-03-07,TTM,16129636283.0,,,5.2882,11873866283.0,1.062779,7.522831,0.1959,1.103239,EQT
EQT,2023-03-08,TTM,,3.766034,1.328568,,,,,,,EQT
EQT,2023-03-31,3M,15793979260.0,9.734798,8.601359,5.2138,11538209260.0,1.032735,7.285388,0.1931,1.068418,EQT
EQT,2023-06-30,3M,18219374020.0,-469.559393,21.325047,15.3846,14874829020.0,1.228093,3.567216,2.199,1.474269,EQT
EQT,2023-09-30,3M,20144889416.0,1408.339584,19.981124,8.8417,16688828416.0,1.390248,4.508889,0.3536,1.889495,EQT
EFX,2022-09-30,3M,26444632000.0,64.546331,21.252618,19.084,20983032000.0,5.514594,28.288779,1.0766,4.109452,EFX
EFX,2022-12-31,3M,29438504860.0,86.482094,24.573042,24.0964,23798104860.0,6.333892,33.801739,1.8782,4.634233,EFX
EFX,2023-03-31,3M,30370284000.0,83.895812,23.325871,27.933,24868184000.0,6.2854,35.900885,1.508,4.882701,EFX
EFX,2023-06-30,3M,34441810000.0,85.062509,26.139807,32.6797,28871310000.0,7.104161,49.432773,2.4418,5.732561,EFX
EFX,2023-09-30,3M,27987866818.0,68.229807,21.217396,20.8768,22479866818.0,5.384562,43.0,1.2587,4.467496,EFX
EQIX,2022-09-30,3M,67076309134.0,87.184668,36.441464,60.241,52638735134.0,4.952004,81.031339,2.7201,7.466504,EQIX
EQIX,2022-12-31,3M,74137953468.0,104.360564,39.628058,67.5676,60615241468.0,5.43906,85.736911,3.0991,8.433676,EQIX
EQIX,2023-03-07,TTM,78172267780.0,,,70.4225,63609134780.0,5.528361,89.382008,3.4839,8.667588,EQIX
EQIX,2023-03-08,TTM,,26.753788,10.762927,,,,,,,EQIX
EQIX,2023-03-31,3M,81990985266.0,94.655405,41.032237,74.0741,67427852266.0,5.860251,94.007823,3.6587,9.116165,EQIX
EQIX,2023-06-30,3M,87719826403.0,109.088387,43.459908,82.6446,73349243403.0,6.097677,88.882086,4.0485,9.620802,EQIX
EQIX,2023-09-30,3M,82788090883.0,95.84806,40.168309,66.2252,67952463883.0,5.670581,83.863741,3.2248,8.741767,EQIX
EQR,2022-09-02,TTM,36028353588.0,,,41.4938,27757527588.0,2.557635,22.988484,1.6045,11.008608,EQR
EQR,2022-09-05,TTM,,14.377003,13.810772,,,,,,,EQR
EQR,2022-09-30,3M,33556923186.0,53.873385,48.276466,37.7358,25286097186.0,2.329913,20.938834,1.4614,10.027082,EQR
EQR,2022-12-31,3M,30097447280.0,66.904923,43.014604,33.8983,22297216280.0,2.028386,20.230761,1.1831,8.570737,EQR
EQR,2023-03-31,3M,30451774260.0,60.422345,43.188615,39.3701,22733893260.0,2.041448,30.196899,2.7965,8.543131,EQR
EQR,2023-06-30,3M,32535556670.0,75.076394,45.357798,44.6429,25004788670.0,2.252682,27.989456,3.1703,9.224916,EQR
EQR,2023-09-30,3M,30011353849.0,62.994406,41.448311,34.6021,22252992849.0,2.029164,27.602789,2.6225,8.132751,EQR
ESS,2022-09-02,TTM,23208680942.0,,,38.61,17321775942.0,2.972243,44.929054,3.5711,11.439982,ESS
ESS,2022-09-04,TTM,,19.839549,15.305764,,,,,,,ESS
