,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,Ticker,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,earningsGrowth
0,86400,151.59,buy,6869000192.0,8.217,8168999936,5560999936.0,1.632,2.597,26517000192,34.014,31.568,0.16652,0.4804,11993000000.0,5577999872.0,8700000256.0,-0.004,0.46702,0.30807,0.29317,0.25855,USD,AMAT,185.0,120.0,160.76,160.0,2.1,29.0,0.287
0,86400,84.01,buy,1808000000.0,6.392,2665999872,6993999872.0,1.242,1.808,19772000256,63.163,72.053,0.05185,0.23778999,2646000000.0,1019000000.0,2204999936.0,0.108,0.16841999,0.13484,0.096599996,0.11542,USD,APTV,155.0,69.0,114.83,116.5,1.9,24.0,4.485
0,86400,248.0,buy,1116000000.0,5.169,2573400064,7049299968.0,0.142,1.042,9213200384,67.072,43.118,0.02609,0.11924,3643900000.0,2043675008.0,2681400064.0,0.191,0.43794,0.27932,0.17504999,0.123430006,USD,AJG,277.0,187.0,254.8,265.0,1.9,15.0,0.076
0,86400,16.76,hold,7633999872.0,1.068,42078998528,162607005696.0,0.414,0.689,121748996096,135.701,16.974,0.03968,-0.077589996,69893000000.0,14864874496.0,37248999424.0,0.01,0.5911,0.34562,0.23753001,-0.09285,USD,T,25.71,7.34,16.89,16.53,2.6,21.0,-0.401
0,86400,113.85,buy,15404000.0,0.104,1680429056,7122906112.0,0.265,0.655,4275356928,65.528,29.461,0.03009,0.08732,1808845000.0,410526112.0,3459742976.0,-0.187,0.48143002,0.39305001,0.25718,0.20719999,USD,ATO,131.0,110.0,120.86,120.0,2.5,7.0,0.565
0,86400,224.93,buy,1954000000.0,9.131,1194000000,2648000000.0,0.647,0.751,5345999872,178.677,25.011,0.07887,0.76801,4583000000.0,1932125056.0,1787000064.0,0.105,0.91452,0.22333999,0.23621,0.17153,USD,ADSK,260.0,200.0,234.48,235.0,2.1,22.0,0.231
0,86400,2641.75,buy,316692992.0,17.909,3971563008,11130469376.0,0.098,0.796,17457209344,,943.123,0.13891,,9070422000.0,1542283008.0,2940787968.0,0.064,0.51958,0.2275,0.21483,0.14484,USD,AZO,3215.0,2500.0,2860.75,2900.0,2.0,20.0,0.147
0,86400,177.94,buy,532758016.0,3.756,1664691968,8101445120.0,0.703,1.432,2713295872,68.777,19.274,0.026029998,0.08068,1689582000.0,1301139328.0,1555334016.0,-0.013,0.64365,0.61353,0.32097,0.34207,USD,AVB,229.0,176.0,191.8,191.0,2.4,20.0,-0.658
0,86400,195.19,buy,243900000.0,3.029,1163000064,3313600000.0,0.609,1.026,8279699968,160.574,102.503,0.069359995,0.23719999,2404200000.0,530424992.0,859900032.0,-0.094,0.2635,0.14046,0.120670006,0.05831,USD,AVY,225.0,185.0,202.0,199.0,1.7,11.0,-0.367
0,86400,231.51,buy,1190579968.0,15.888,166914000,721136000.0,2.638,3.145,1467390976,47.408,20.034,0.03279,0.10618,728638000.0,238573120.0,180344992.0,0.327,0.61140996,0.11375,0.12693,0.099589996,USD,AXON,265.0,220.0,243.5,243.5,1.8,12.0,3.588
0,86400,33.79,buy,4252999936.0,4.227,3632000000,6728999936.0,0.848,1.274,24576000000,43.709,24.399,0.04597,0.114709996,4431000000.0,2770625024.0,3028000000.0,0.237,0.21053,0.14779,0.10827,0.06856,USD,BKR,47.0,36.0,41.54,42.0,1.9,25.0,
